Zip_CoDE,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher
34117,943,8.8,814,7.6,4071,37.8,1712,15.9,1080,10,1328,12.3,813,7.6,83.7
34119,336,1.5,739,3.4,5018,23.1,4444,20.4,2258,10.4,5092,23.4,3867,17.8,95.1
34120,1306,6.2,1732,8.3,6120,29.2,3554,17,2120,10.1,3608,17.2,2518,12,85.5
34134,128,1,274,2.2,2740,21.6,2445,19.3,1132,8.9,3445,27.2,2495,19.7,96.8
34135,3309,10.1,2192,6.7,8101,24.7,6252,19,2649,8.1,6285,19.1,4052,12.3,83.2
34137,0,0,0,0,133,89.3,16,10.7,0,0,0,0,0,0,100
34138,0,0,0,0,45,42.9,12,11.4,13,12.4,11,10.5,24,22.9,100
34139,3,0.7,43,10.6,116,28.6,106,26.2,48,11.9,77,19,12,3,88.6
34140,0,0,0,0,0,0,66,41,14,8.7,81,50.3,0,0,100
34141,0,0,29,100,0,0,0,0,0,0,0,0,0,0,0
34142,6186,40,2703,17.5,3730,24.1,1343,8.7,430,2.8,643,4.2,427,2.8,42.5
34145,514,3.4,833,5.5,2823,18.5,3106,20.3,1035,6.8,4154,27.2,2804,18.4,91.2
34201,45,1.2,55,1.5,643,17.7,654,18,297,8.2,1011,27.8,934,25.7,97.3
34202,103,0.6,381,2.3,2350,14.5,2709,16.7,1841,11.4,4989,30.8,3841,23.7,97
34203,1727,6.6,1974,7.5,8063,30.7,5578,21.2,2348,8.9,4158,15.8,2424,9.2,85.9
34205,1393,6.3,2140,9.7,8152,37.1,4683,21.3,1913,8.7,2460,11.2,1223,5.6,83.9
34207,1965,8,2917,11.8,10059,40.8,4879,19.8,1504,6.1,1971,8,1387,5.6,80.2
34208,2654,10.8,2786,11.4,8718,35.6,4482,18.3,1617,6.6,2924,11.9,1292,5.3,77.8
34209,355,1.3,1740,6.4,8352,30.9,6290,23.3,2034,7.5,5067,18.7,3202,11.8,92.3
34210,208,1.6,637,4.9,3478,26.9,3243,25.1,1155,8.9,2385,18.5,1815,14,93.5
34211,61,1.5,184,4.5,623,15.4,847,20.9,511,12.6,1079,26.6,751,18.5,94
34212,54,0.5,554,4.6,2281,19.1,2457,20.5,1249,10.4,3423,28.6,1948,16.3,94.9
34215,0,0,25,8.9,76,27,38,13.5,9,3.2,90,32,43,15.3,91.1
34216,5,0.5,33,3.4,295,30.4,199,20.5,57,5.9,194,20,187,19.3,96.1
34217,14,0.3,74,1.6,1036,22.5,920,20,544,11.8,1062,23.1,951,20.7,98.1
34219,500,3.2,632,4,4023,25.4,3805,24,1942,12.3,3373,21.3,1559,9.8,92.9
34221,1681,5.6,2462,8.2,11395,37.9,6333,21,2620,8.7,3721,12.4,1876,6.2,86.2
34222,324,3.5,381,4.1,3586,38.4,1954,20.9,1167,12.5,1350,14.5,570,6.1,92.4
34223,232,1.6,719,4.9,5195,35.2,2986,20.2,1284,8.7,2533,17.1,1826,12.4,93.6
34224,305,2.4,889,6.9,5054,39.4,3176,24.7,1249,9.7,1303,10.1,866,6.7,90.7
34228,108,1.6,180,2.6,753,10.8,1177,16.9,348,5,2277,32.8,2102,30.3,95.9
34229,58,0.9,199,3.2,1612,25.7,1075,17.1,367,5.9,1539,24.5,1420,22.6,95.9
34231,502,2.1,1316,5.6,6739,28.6,5807,24.6,1870,7.9,4449,18.9,2895,12.3,92.3
34232,974,3.8,1200,4.7,8942,34.9,5175,20.2,2279,8.9,4734,18.5,2331,9.1,91.5
34233,74,0.6,824,6.2,3470,26.2,2656,20,1168,8.8,3346,25.2,1721,13,93.2
34234,849,5.6,1647,10.9,5580,37,3135,20.8,991,6.6,1895,12.6,1000,6.6,83.5
34235,292,2.7,448,4.1,2421,22.2,2661,24.5,754,6.9,2491,22.9,1814,16.7,93.2
34236,217,2,491,4.5,1748,16.1,2167,19.9,629,5.8,3150,28.9,2480,22.8,93.5
34237,791,6.2,1296,10.1,4365,34.1,2569,20.1,891,7,1842,14.4,1052,8.2,83.7
34238,103,0.7,338,2.2,3093,19.8,2996,19.2,1166,7.5,3997,25.6,3945,25.2,97.2
34239,489,4.3,365,3.2,2736,23.8,2203,19.2,911,7.9,2942,25.6,1830,15.9,92.6
34240,245,2.9,293,3.5,2232,26.6,1725,20.6,598,7.1,1777,21.2,1510,18,93.6
34241,210,1.9,358,3.3,2745,25.3,2286,21.1,981,9.1,2558,23.6,1695,15.6,94.8
34242,53,0.8,96,1.5,1053,15.9,1115,16.9,511,7.7,2033,30.8,1745,26.4,97.7
34243,528,2.3,861,3.8,6094,26.9,4915,21.7,1995,8.8,4987,22,3302,14.6,93.9
34251,242,6.3,371,9.7,1673,43.9,622,16.3,188,4.9,442,11.6,274,7.2,83.9
34266,3707,17.8,3058,14.7,8454,40.6,2947,14.1,882,4.2,1203,5.8,595,2.9,67.5
34268,0,0,0,0,51,100,0,0,0,0,0,0,0,0,100
34269,116,3.2,349,9.8,1443,40.3,795,22.2,219,6.1,502,14,155,4.3,87
34275,224,1.5,484,3.3,4761,32.1,2946,19.9,1674,11.3,2790,18.8,1958,13.2,95.2
34285,300,1.8,522,3.1,5198,30.7,3653,21.5,1232,7.3,3338,19.7,2715,16,95.2
34286,384,2.8,872,6.3,5638,41,3244,23.6,1578,11.5,1706,12.4,333,2.4,90.9
34287,754,3.6,1581,7.6,8582,41.1,4093,19.6,1982,9.5,2550,12.2,1360,6.5,88.8
