Zip_CoDE,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher
33138,2379,10.7,2129,9.6,4592,20.6,4127,18.5,1515,6.8,4457,20,3060,13.7,79.7
33139,2007,6.4,1238,3.9,5862,18.6,4484,14.2,2551,8.1,8617,27.3,6832,21.6,89.7
33140,679,4.1,622,3.8,2441,14.9,2017,12.3,1384,8.4,4649,28.3,4631,28.2,92.1
33141,2321,7.5,2205,7.1,7716,25,4268,13.8,3511,11.4,6528,21.1,4318,14,85.3
33142,6556,17.9,5972,16.3,14210,38.8,4946,13.5,1804,4.9,2367,6.5,795,2.2,65.8
33143,811,3.5,819,3.5,3892,16.7,3873,16.6,2072,8.9,6704,28.8,5144,22.1,93
33144,3690,16.9,2704,12.4,6595,30.2,2542,11.7,2174,10,2818,12.9,1293,5.9,70.7
33145,3047,12.3,1994,8,7621,30.7,2796,11.2,1894,7.6,4626,18.6,2884,11.6,79.7
33146,164,2.1,68,0.9,688,8.9,723,9.4,496,6.5,2554,33.2,2996,39,97
33147,3253,10.7,4814,15.9,11912,39.3,5518,18.2,1937,6.4,2008,6.6,865,2.9,73.4
33149,99,1.1,83,0.9,754,8.6,1145,13,502,5.7,3254,37,2961,33.7,97.9
33150,2526,14.2,2502,14,6058,33.9,2812,15.8,1555,8.7,1520,8.5,875,4.9,71.8
33154,340,3.3,238,2.3,1454,14.2,1931,18.8,756,7.4,3525,34.3,2023,19.7,94.4
33155,3519,10.3,2347,6.9,8648,25.3,5542,16.2,3506,10.3,6405,18.8,4173,12.2,82.8
33156,486,2.2,647,2.9,2917,13.2,2995,13.6,1692,7.7,6431,29.1,6907,31.3,94.9
33157,3526,7.9,3751,8.4,12719,28.4,7921,17.7,3843,8.6,8545,19.1,4535,10.1,83.8
33158,45,1,95,2.1,340,7.4,629,13.6,311,6.7,1366,29.6,1835,39.7,97
33160,909,2.8,993,3.1,5590,17.4,7429,23.1,2756,8.6,7758,24.1,6732,20.9,94.1
33161,4908,13.6,5038,13.9,10271,28.4,7093,19.6,2768,7.7,4272,11.8,1801,5,72.5
33162,3512,11.3,3612,11.7,9673,31.3,6169,19.9,2792,9,3715,12,1475,4.8,77
33165,4987,11.7,3338,7.8,14571,34.1,5337,12.5,3710,8.7,7477,17.5,3314,7.8,80.5
33166,1304,7.3,1328,7.4,5491,30.8,2537,14.2,2320,13,3222,18.1,1639,9.2,85.2
33167,1974,14.5,1678,12.3,5087,37.4,2107,15.5,1239,9.1,1035,7.6,470,3.5,73.1
33168,2642,14,2545,13.5,6567,34.8,3123,16.5,1421,7.5,1686,8.9,906,4.8,72.5
33169,2651,10,2646,10,8398,31.7,5799,21.9,2626,9.9,2871,10.8,1524,5.7,80
33170,844,9.4,671,7.5,3649,40.8,1405,15.7,699,7.8,1284,14.4,394,4.4,83.1
33172,2556,8.5,3568,11.9,8879,29.5,3610,12,3107,10.3,6101,20.3,2273,7.6,79.7
33173,1449,5.9,1466,6,5276,21.4,4063,16.5,2692,10.9,6073,24.7,3598,14.6,88.2
33174,2500,10.9,3113,13.6,6277,27.4,2483,10.8,2487,10.9,4342,19,1703,7.4,75.5
33175,3790,9.3,3125,7.7,13855,34.1,5885,14.5,4121,10.2,6740,16.6,3056,7.5,83
33176,1524,4.2,1947,5.4,8218,22.6,6515,17.9,3792,10.4,8086,22.2,6267,17.2,90.5
33177,3662,9.3,3605,9.2,13383,34,7267,18.5,3206,8.1,6113,15.5,2122,5.4,81.5
33178,941,3.2,510,1.7,5090,17.3,3551,12.1,2915,9.9,11295,38.3,5159,17.5,95.1
33179,2097,6.8,1874,6.1,7835,25.5,6164,20.1,4083,13.3,5454,17.7,3229,10.5,87.1
33180,574,2.3,754,3,4147,16.4,5061,20,2114,8.4,7697,30.4,4945,19.6,94.7
33181,724,5.4,819,6.1,3388,25.4,2826,21.2,1199,9,2772,20.8,1597,12,88.4
33182,1166,8.8,1562,11.8,4047,30.5,1757,13.2,1285,9.7,2364,17.8,1092,8.2,79.4
33183,1649,6,1726,6.3,7515,27.4,4894,17.8,4082,14.9,5355,19.5,2200,8,87.7
33184,1620,9.8,2701,16.4,4199,25.5,2254,13.7,1519,9.2,3035,18.4,1170,7.1,73.8
33185,1210,5.7,1685,8,4956,23.4,3420,16.2,2480,11.7,5365,25.4,2038,9.6,86.3
33186,1784,3.7,2194,4.5,11303,23.2,10531,21.6,6191,12.7,10917,22.4,5896,12.1,91.9
33187,775,6.1,1312,10.4,3374,26.7,2430,19.2,1388,11,2267,17.9,1092,8.6,83.5
33189,1044,5.9,1406,7.9,5146,29.1,3619,20.4,2067,11.7,3019,17.1,1399,7.9,86.2
33190,361,4,611,6.8,1844,20.6,2048,22.9,1140,12.8,1932,21.6,1003,11.2,89.1
33193,2300,6.6,4064,11.6,9655,27.6,5487,15.7,3183,9.1,7847,22.4,2459,7,81.8
33194,679,13.8,536,10.9,1123,22.9,829,16.9,436,8.9,706,14.4,598,12.2,75.2
33196,1430,4.5,1556,4.9,6739,21,7285,22.7,4061,12.7,7710,24.1,3252,10.2,90.7
33301,158,1.4,325,2.9,1321,11.6,1494,13.1,976,8.6,4155,36.6,2933,25.8,95.7
33304,602,3.9,508,3.3,3312,21.4,2587,16.7,1593,10.3,4311,27.8,2591,16.7,92.8
33305,180,1.7,162,1.6,1902,18.2,2130,20.4,931,8.9,3282,31.5,1841,17.7,96.7
33306,0,0,19,0.7,359,13.6,713,26.9,322,12.2,654,24.7,581,21.9,99.3
33308,582,2.4,800,3.3,5039,21,4331,18,1927,8,6852,28.5,4488,18.7,94.2
33309,2505,9.5,2498,9.5,7677,29.1,4555,17.3,3060,11.6,4112,15.6,1965,7.5,81
33311,4306,9.7,7429,16.8,16768,38,7268,16.5,3233,7.3,3535,8,1627,3.7,73.4
33312,2623,7,3560,9.4,10947,29,7393,19.6,3259,8.6,6801,18,3123,8.3,83.6
33313,3106,8.1,4449,11.6,14099,36.7,7202,18.7,3998,10.4,3473,9,2110,5.5,80.3
33314,1051,6.6,1191,7.5,5622,35.4,3045,19.2,1375,8.7,2957,18.6,639,4,85.9
33315,676,6.3,615,5.7,2732,25.4,1972,18.4,1092,10.2,2571,23.9,1078,10,88
33316,345,4.1,445,5.3,1850,22.1,1556,18.6,486,5.8,2093,25,1597,19.1,90.6
33317,1721,6.6,1534,5.9,6315,24.4,5146,19.9,2348,9.1,5868,22.7,2971,11.5,87.4
33319,2340,6.9,3227,9.5,10627,31.3,7333,21.6,3107,9.1,4892,14.4,2442,7.2,83.6
33321,1273,3.5,2006,5.6,11361,31.6,8368,23.2,2753,7.6,7047,19.6,3201,8.9,90.9
33322,1578,5.2,1488,4.9,8540,28.1,6872,22.6,2835,9.3,5679,18.7,3434,11.3,89.9
33323,513,3.8,551,4.1,3178,23.4,2710,20,1777,13.1,3080,22.7,1760,13,92.2
33324,778,2.3,987,2.9,7242,21.1,7152,20.9,3680,10.7,8767,25.6,5681,16.6,94.9
33325,845,4.3,1229,6.2,5287,26.6,3600,18.1,1790,9,4383,22.1,2710,13.7,89.5
33326,582,2.6,575,2.6,3778,16.8,3820,17,2374,10.6,6990,31.2,4307,19.2,94.8
33327,179,1.3,159,1.2,1316,9.6,2191,16,1348,9.8,5300,38.7,3219,23.5,97.5
33328,536,2.8,497,2.6,4242,21.8,4066,20.9,1842,9.5,5019,25.8,3261,16.8,94.7
33330,234,2.4,303,3.1,1809,18.7,1546,15.9,1386,14.3,2458,25.4,1957,20.2,94.5
33331,254,1.6,403,2.6,2393,15.2,2950,18.8,1605,10.2,4678,29.8,3441,21.9,95.8
33332,143,2.1,119,1.7,860,12.5,1338,19.5,662,9.7,1946,28.4,1792,26.1,96.2
33334,1934,8.5,1999,8.8,6155,27,4754,20.9,2021,8.9,3973,17.4,1945,8.5,82.7
33351,1056,4.5,1648,7.1,6500,27.9,4964,21.3,2906,12.5,4451,19.1,1814,7.8,88.4
33401,836,4.5,1188,6.4,4846,25.9,3377,18.1,1740,9.3,4109,22,2604,13.9,89.2
33403,510,5.8,1034,11.7,2499,28.3,1986,22.5,754,8.5,1385,15.7,667,7.5,82.5
33404,1171,6.1,1949,10.1,6530,33.9,3741,19.4,1574,8.2,2746,14.3,1531,8,83.8
33405,2772,18.3,1498,9.9,3802,25.2,1983,13.1,1091,7.2,2619,17.3,1347,8.9,71.7
33406,1066,6.1,1759,10.1,5151,29.5,3545,20.3,1703,9.8,3180,18.2,1044,6,83.8
33407,1936,9.6,2612,12.9,5830,28.8,3849,19,1442,7.1,2857,14.1,1687,8.3,77.5
33408,229,1.6,654,4.5,2975,20.7,3097,21.5,1054,7.3,4144,28.8,2252,15.6,93.9
33409,2244,10.9,1460,7.1,5696,27.7,3976,19.3,1875,9.1,3669,17.8,1648,8,82
33410,961,3.4,1258,4.5,6303,22.5,5965,21.3,2535,9,7262,25.9,3780,13.5,92.1
33411,1656,3.5,2832,5.9,13502,28.2,10237,21.4,5258,11,9037,18.9,5310,11.1,90.6
33412,355,3.4,516,4.9,2701,25.8,2084,19.9,1025,9.8,2148,20.5,1629,15.6,91.7
33413,640,6.2,723,7,2947,28.4,1885,18.2,1446,13.9,1812,17.5,913,8.8,86.9
33414,686,1.8,1259,3.3,7872,20.5,7611,19.8,4157,10.8,10608,27.7,6164,16.1,94.9
33415,4413,13.8,2875,9,11496,35.8,5791,18,2814,8.8,3556,11.1,1144,3.6,77.3
33417,2535,11.1,1733,7.6,7776,34.1,4682,20.5,1684,7.4,3152,13.8,1266,5.5,81.3
33418,515,1.7,651,2.2,5229,17.7,5700,19.3,2891,9.8,8274,28,6275,21.2,96.1
33426,720,4.4,906,5.5,4349,26.6,4051,24.8,2089,12.8,2987,18.3,1262,7.7,90.1
33428,756,2.8,1339,5,7031,26.2,5494,20.4,3067,11.4,6052,22.5,3144,11.7,92.2
33430,2856,21.6,2058,15.6,4099,31,2006,15.2,803,6.1,909,6.9,487,3.7,62.8
33431,296,2.5,225,1.9,2231,18.5,2223,18.4,868,7.2,3802,31.5,2430,20.1,95.7
33432,542,3.4,468,3,2711,17.2,2845,18,1515,9.6,4102,26,3599,22.8,93.6
33433,475,1.5,830,2.6,6100,19,7048,22,2598,8.1,9230,28.8,5813,18.1,95.9
33434,421,2.5,723,4.3,3352,19.8,3302,19.5,1084,6.4,4948,29.2,3130,18.5,93.3
33435,2106,8.6,2491,10.2,7298,29.8,4976,20.3,1745,7.1,3950,16.1,1956,8,81.3
33436,1384,4.1,1747,5.2,8599,25.4,7140,21.1,3530,10.4,8174,24.2,3267,9.7,90.7
33437,681,2,903,2.7,7912,23.7,7700,23.1,2467,7.4,7600,22.8,6060,18.2,95.2
33438,0,0,16,6,213,80.4,22,8.3,0,0,14,5.3,0,0,94
33440,2468,19.8,1879,15.1,4063,32.7,2003,16.1,783,6.3,884,7.1,359,2.9,65.1
33441,1310,6.5,1981,9.8,6400,31.7,3717,18.4,1697,8.4,3665,18.2,1398,6.9,83.7
33442,417,1.8,1300,5.7,7089,31.3,5061,22.4,2100,9.3,4397,19.4,2275,10,92.4
33444,1687,10.1,2219,13.3,4414,26.4,3031,18.1,1281,7.7,2770,16.6,1321,7.9,76.6
33445,1149,4.8,1389,5.9,5862,24.7,4877,20.5,2121,8.9,4938,20.8,3397,14.3,89.3
33446,481,2.4,834,4.1,4949,24.4,4385,21.7,1242,6.1,4634,22.9,3725,18.4,93.5
33449,16,0.2,284,3.6,1095,13.9,1191,15.1,975,12.4,2376,30.2,1932,24.6,96.2
33455,628,3.5,995,5.5,4742,26.1,3818,21,1710,9.4,3888,21.4,2390,13.2,91.1
33458,1448,3.8,1966,5.1,7860,20.4,7134,18.5,3621,9.4,10385,26.9,6123,15.9,91.1
33460,4344,20.4,2084,9.8,5524,25.9,3649,17.1,1599,7.5,2736,12.8,1358,6.4,69.8
33461,4803,16.7,3530,12.3,8721,30.4,5308,18.5,2020,7,2935,10.2,1381,4.8,71
33462,2161,9.3,2089,9,7107,30.5,4344,18.7,2058,8.8,3583,15.4,1939,8.3,81.7
33463,4562,12.3,3285,8.9,10563,28.5,7150,19.3,3476,9.4,5924,16,2065,5.6,78.8
33467,1380,3.7,1686,4.5,9384,24.9,7958,21.2,3509,9.3,8279,22,5422,14.4,91.8
33469,142,1.1,322,2.6,2880,23.1,2164,17.3,1156,9.3,3776,30.2,2052,16.4,96.3
33470,1075,6.1,1581,9,5029,28.6,4070,23.2,2154,12.3,2568,14.6,1083,6.2,84.9
33471,679,11.7,1002,17.3,2552,44,897,15.5,251,4.3,303,5.2,114,2,71
33472,129,0.8,299,1.9,3846,24.9,3132,20.2,1654,10.7,3695,23.9,2713,17.5,97.2
33473,43,0.7,23,0.4,1126,17.6,883,13.8,357,5.6,2263,35.4,1704,26.6,99
33476,919,18.9,776,15.9,1489,30.6,944,19.4,233,4.8,377,7.7,130,2.7,65.2
33477,100,0.8,234,1.9,2468,19.7,2601,20.8,986,7.9,3653,29.2,2472,19.8,97.3
33478,122,1.4,373,4.1,2390,26.5,1925,21.4,1016,11.3,2079,23.1,1110,12.3,94.5
33480,61,0.7,102,1.1,935,10.2,1737,18.9,640,7,3291,35.8,2421,26.4,98.2
33483,166,1.7,293,2.9,1598,16,1868,18.7,674,6.8,3241,32.5,2145,21.5,95.4
33484,636,2.8,1040,4.6,6780,30.2,5002,22.3,1429,6.4,4611,20.6,2918,13,92.5
33486,135,0.8,324,1.9,3656,21.2,3222,18.7,1527,8.9,5408,31.4,2933,17,97.3
33487,125,0.8,442,3,2293,15.4,3288,22.1,1179,7.9,4786,32.2,2738,18.4,96.2
33493,477,11.3,1174,27.8,1582,37.5,584,13.8,181,4.3,158,3.7,65,1.5,60.9
33496,363,2.1,539,3.1,2775,15.7,3313,18.8,886,5,5492,31.1,4284,24.3,94.9
33498,46,0.5,313,3.1,2113,20.8,1748,17.2,888,8.8,2924,28.8,2105,20.8,96.5
33503,34,42,31,38.3,8,9.9,8,9.9,0,0,0,0,0,0,19.8
33510,427,2.3,1147,6.2,5971,32.5,4310,23.5,1673,9.1,3507,19.1,1340,7.3,91.4
33511,863,2.3,1873,5,9258,24.5,9902,26.2,3881,10.3,7833,20.7,4168,11,92.8
33513,471,5.4,1401,16.1,3440,39.6,1956,22.5,538,6.2,542,6.2,336,3.9,78.4
33514,293,19.8,221,14.9,367,24.8,452,30.5,85,5.7,47,3.2,17,1.1,65.3
33521,0,0,48,12.6,253,66.2,43,11.3,30,7.9,8,2.1,0,0,87.4
33523,883,7.5,1614,13.7,4365,37,2366,20,869,7.4,1209,10.2,495,4.2,78.8
33525,686,5.1,1067,7.9,4993,36.9,2659,19.6,1257,9.3,1796,13.3,1086,8,87.1
33527,1363,13.6,1437,14.4,3191,31.9,1845,18.5,748,7.5,936,9.4,476,4.8,72
33534,1097,11.8,995,10.7,2899,31.2,1704,18.4,993,10.7,1135,12.2,460,5,77.5
33538,211,5.9,462,12.8,1430,39.7,874,24.3,318,8.8,233,6.5,73,2,81.3
33540,225,3.3,775,11.3,2993,43.7,1606,23.5,378,5.5,609,8.9,257,3.8,85.4
33541,465,2.9,1984,12.4,6774,42.4,3377,21.1,1370,8.6,1357,8.5,662,4.1,84.7
33542,847,5.3,1821,11.5,6325,39.8,3435,21.6,1564,9.8,1265,8,632,4,83.2
33543,521,3.2,586,3.6,3694,23,3519,21.9,1698,10.6,3697,23,2369,14.7,93.1
33544,368,2.2,930,5.6,3324,20,3119,18.8,1864,11.2,4307,26,2679,16.1,92.2
33545,271,2.6,458,4.5,2537,24.8,2377,23.2,1191,11.6,2418,23.6,994,9.7,92.9
33547,371,2.6,629,4.3,2745,18.9,2575,17.8,1373,9.5,4261,29.4,2552,17.6,93.1
33548,26,0.5,201,4.2,1018,21.5,1164,24.6,369,7.8,1350,28.5,612,12.9,95.2
33549,175,1.5,589,5,2921,24.8,2644,22.4,1187,10.1,2579,21.9,1698,14.4,93.5
33556,324,2.1,511,3.3,3437,22.5,2941,19.2,1442,9.4,4065,26.6,2561,16.8,94.5
33558,167,1.2,446,3.1,2556,18,2918,20.6,1382,9.8,4451,31.4,2249,15.9,95.7
33559,219,2,355,3.2,1976,17.6,2559,22.8,1290,11.5,2835,25.3,1989,17.7,94.9
33563,1679,9.9,2122,12.5,6768,39.8,2969,17.4,1340,7.9,1426,8.4,714,4.2,77.7
33565,650,5.1,1618,12.7,4939,38.7,2625,20.6,1109,8.7,1183,9.3,627,4.9,82.2
33566,1233,9,1402,10.3,4463,32.7,2252,16.5,1182,8.7,2176,15.9,943,6.9,80.7
33567,1143,15,971,12.8,2288,30.1,1510,19.8,538,7.1,874,11.5,285,3.7,72.2
33569,369,2.1,1190,6.8,4520,26,4278,24.6,2216,12.7,3165,18.2,1667,9.6,91
33570,1874,11.2,1896,11.3,5495,32.9,3621,21.7,1489,8.9,1635,9.8,696,4.2,77.4
33572,226,1.8,597,4.8,2641,21.4,2862,23.2,1450,11.8,2907,23.6,1632,13.3,93.3
33573,298,1.5,774,3.9,5879,29.9,5059,25.7,1446,7.4,3380,17.2,2826,14.4,94.5
33576,97,2.9,153,4.6,1023,30.7,848,25.5,433,13,457,13.7,319,9.6,92.5
33578,757,2.5,1448,4.8,7948,26.2,7070,23.3,4102,13.5,6206,20.4,2845,9.4,92.7
33579,616,3.3,754,4.1,4498,24.4,4109,22.3,2111,11.4,4102,22.2,2250,12.2,92.6
33584,557,3.2,1360,7.8,5859,33.7,3650,21,2024,11.7,2800,16.1,1113,6.4,89
33585,9,1,40,4.5,531,59.5,106,11.9,42,4.7,123,13.8,41,4.6,94.5
33592,389,5.5,899,12.8,2623,37.3,1306,18.6,563,8,958,13.6,302,4.3,81.7
33594,828,3.4,1393,5.8,7205,29.8,5578,23.1,2670,11,4401,18.2,2108,8.7,90.8
33596,245,1.2,497,2.5,4058,20.1,3946,19.6,2150,10.7,6102,30.3,3156,15.7,96.3
33597,304,4.6,1331,20,2372,35.7,1394,21,420,6.3,606,9.1,215,3.2,75.4
33598,1952,20.6,1146,12.1,2449,25.9,1642,17.3,613,6.5,1066,11.3,602,6.4,67.3
33602,331,3,617,5.5,1376,12.3,1815,16.2,1004,9,3291,29.4,2759,24.6,91.5
33603,892,6.4,1625,11.6,4188,30,2476,17.7,1117,8,2617,18.7,1068,7.6,82
33604,1949,7.4,3134,11.9,9482,36,4757,18.1,2198,8.3,3262,12.4,1561,5.9,80.7
33605,1395,11.8,1997,16.9,3939,33.4,2039,17.3,676,5.7,1332,11.3,430,3.6,71.3
33606,181,1.6,383,3.4,1428,12.6,1317,11.6,642,5.7,4216,37.2,3154,27.9,95
33607,1511,8.8,2073,12.1,5217,30.4,2482,14.4,1383,8,3169,18.4,1354,7.9,79.1
33609,322,2.5,427,3.3,2395,18.5,1819,14,1141,8.8,4065,31.4,2781,21.5,94.2
33610,1563,6,3638,14.1,9720,37.6,5123,19.8,1837,7.1,2543,9.8,1446,5.6,79.9
33611,730,2.9,1053,4.2,5837,23.5,4343,17.5,2538,10.2,6112,24.6,4196,16.9,92.8
33612,2112,7.1,3422,11.4,10522,35.2,6945,23.2,2304,7.7,3035,10.2,1553,5.2,81.5
33613,2047,10.5,1560,8,5488,28.2,3566,18.3,1542,7.9,3521,18.1,1765,9.1,81.5
33614,2686,8.3,4143,12.7,11497,35.4,6157,18.9,2843,8.7,3622,11.1,1564,4.8,79
33615,1707,5.2,2663,8.1,11143,34,6328,19.3,2604,7.9,5760,17.6,2611,8,86.7
33616,282,2.8,725,7.2,3206,31.9,1868,18.6,1255,12.5,1806,18,900,9,90
33617,1210,4.3,1779,6.2,8115,28.5,5396,19,3255,11.4,5377,18.9,3333,11.7,89.5
33618,269,1.4,552,2.9,3914,20.6,3684,19.4,1955,10.3,5488,28.9,3114,16.4,95.7
33619,2236,9.1,4087,16.7,8352,34.1,4294,17.5,1822,7.4,2725,11.1,969,4,74.2
33620,0,0,0,0,0,0,28,71.8,0,0,11,28.2,0,0,100
33621,0,0,0,0,68,6.9,305,30.8,240,24.3,251,25.4,125,12.6,100
33624,701,2.6,1104,4.1,6161,22.8,5715,21.1,3479,12.9,6659,24.6,3214,11.9,93.3
33625,665,3.7,710,4,4536,25.4,4129,23.1,1757,9.8,3930,22,2111,11.8,92.3
